date,rainfall,gwl
31/08/2022,0,7.68
01/09/2022,0,7.68
02/09/2022,0,7.67
03/09/2022,0,7.67
04/09/2022,0,7.78
05/09/2022,0,7.89
06/09/2022,0,7.99
07/09/2022,0,8.1
08/09/2022,5,8.21
09/09/2022,9,8.43
10/09/2022,21,8.51
11/09/2022,0,8.29
12/09/2022,0,8.36
13/09/2022,18,8.31
14/09/2022,0,8.41
15/09/2022,0,8.5
16/09/2022,0,8.5
17/09/2022,3,8.51
18/09/2022,2,8.65
19/09/2022,0,8.66
20/09/2022,0,8.66
21/09/2022,0,8.75
22/09/2022,0,8.76
23/09/2022,0,8.77
24/09/2022,0,8.78
25/09/2022,0,8.78
26/09/2022,0,8.79
27/09/2022,0,8.8
28/09/2022,0,8.81
29/09/2022,0,8.82
30/09/2022,0,8.84
01/10/2022,6,8.9
02/10/2022,0,8.85
03/10/2022,27,8.81
04/10/2022,0,8.93
05/10/2022,0,8.95
06/10/2022,0,8.96
07/10/2022,0,8.98
08/10/2022,0,9
09/10/2022,0,9.03
10/10/2022,0,9.06
11/10/2022,0,9.11
12/10/2022,0,9.12
13/10/2022,0,9.13
14/10/2022,0,9.14
15/10/2022,0,9.15
16/10/2022,0,9.17
17/10/2022,0,9.19
18/10/2022,0,9.21
19/10/2022,0,9.23
20/10/2022,0,9.25
21/10/2022,0,9.27
22/10/2022,2,9.29
23/10/2022,0,9.27
24/10/2022,14,9.19
25/10/2022,7,9.15
26/10/2022,0,9.21
27/10/2022,0,9.25
28/10/2022,0,9.25
29/10/2022,0,9.24
30/10/2022,0,9.36
31/10/2022,0,9.28
01/11/2022,27,9.37
02/11/2022,0,9.27
03/11/2022,53,8.77
04/11/2022,3,8.74
05/11/2022,0,8.66
06/11/2022,0,8.72
07/11/2022,9,8.88
08/11/2022,0,8.81
09/11/2022,0,8.93
10/11/2022,0,8.89
11/11/2022,0,8.99
12/11/2022,0,9.06
13/11/2022,3,9.12
14/11/2022,6,9.14
15/11/2022,3,9.21
16/11/2022,0,9.13
17/11/2022,0,9.27
18/11/2022,0,9.22
19/11/2022,0,9.29
20/11/2022,0,9.29
21/11/2022,0,9.47
22/11/2022,0,9.49
23/11/2022,0,9.46
24/11/2022,0,9.51
25/11/2022,0,9.46
26/11/2022,0,9.6
27/11/2022,0,9.65
28/11/2022,57,9.19
29/11/2022,0,9.18
30/11/2022,0,9.18
01/12/2022,0,9.21
02/12/2022,0,9.11
03/12/2022,0,9.14
04/12/2022,4,9.19
05/12/2022,10,9.29
06/12/2022,0,9.31
07/12/2022,0,9.39
08/12/2022,0,9.43
09/12/2022,0,9.42
10/12/2022,1,9.4
11/12/2022,80,9.06
12/12/2022,82,7.12
13/12/2022,3,7.73
14/12/2022,0,8.29
15/12/2022,7,8.4
16/12/2022,0,8.49
17/12/2022,0,8.55
18/12/2022,0,8.56
19/12/2022,0,8.59
20/12/2022,0,8.66
21/12/2022,0,8.75
22/12/2022,0,8.78
23/12/2022,0,8.79
24/12/2022,0,8.84
25/12/2022,0,8.99
26/12/2022,0,8.96
27/12/2022,0,8.89
28/12/2022,0,8.94
29/12/2022,0,8.94
30/12/2022,0,9.07
31/12/2022,0,9.11
01/01/2023,0,9.17
02/01/2023,0,9.22
03/01/2023,0,9.21
04/01/2023,0,9.24
05/01/2023,0,9.27
06/01/2023,0,9.31
07/01/2023,0,9.33
08/01/2023,0,9.39
09/01/2023,0,9.38
10/01/2023,0,9.48
11/01/2023,0,9.51
12/01/2023,0,9.47
13/01/2023,0,9.5
14/01/2023,0,9.54
15/01/2023,0,9.6
16/01/2023,0,9.67
17/01/2023,0,9.5
18/01/2023,0,9.26
19/01/2023,0,9.31
20/01/2023,0,9.33
21/01/2023,0,9.42
22/01/2023,0,9.46
23/01/2023,0,9.5
24/01/2023,0,9.53
25/01/2023,11,9.51
26/01/2023,0,9.66
27/01/2023,0,9.76
28/01/2023,0,9.69
29/01/2023,0,9.87
30/01/2023,0,9.89
31/01/2023,0,9.92
01/02/2023,0,9.95
02/02/2023,0,10.07
03/02/2023,0,10.04
04/02/2023,0,9.85
05/02/2023,0,9.93
06/02/2023,0,9.81
07/02/2023,0,9.8
08/02/2023,0,9.8
09/02/2023,0,9.73
10/02/2023,0,9.82
11/02/2023,0,9.74
12/02/2023,0,9.85
13/02/2023,0,9.89
14/02/2023,0,9.79
15/02/2023,0,9.85
16/02/2023,0,9.84
17/02/2023,0,9.9
18/02/2023,0,10.14
19/02/2023,0,10
20/02/2023,0,9.9
21/02/2023,0,10.03
22/02/2023,0,9.97
23/02/2023,0,9.87
24/02/2023,0,9.93
25/02/2023,0,9.98
26/02/2023,0,10.19
27/02/2023,0,10.06
28/02/2023,0,10.07
01/03/2023,0,10.07
02/03/2023,0,10.01
03/03/2023,0,10
04/03/2023,0,10.11
05/03/2023,0,10.18
06/03/2023,0,10.16
07/03/2023,0,10.37
08/03/2023,0,10.16
09/03/2023,0,10.32
10/03/2023,0,10.29
11/03/2023,0,10.4
12/03/2023,0,10.31
13/03/2023,0,10.38
14/03/2023,0,10.23
15/03/2023,0,10.43
16/03/2023,0,10.41
17/03/2023,0,10.5
18/03/2023,0,10.54
19/03/2023,6,10.41
20/03/2023,0,10.43
21/03/2023,0,10.61
22/03/2023,0,10.71
23/03/2023,0,10.64
24/03/2023,0,10.77
25/03/2023,0,10.85
26/03/2023,0,10.79
27/03/2023,0,10.87
28/03/2023,0,10.86
29/03/2023,0,10.91
30/03/2023,0,11.21
31/03/2023,0,10.99
01/04/2023,0,11.01
02/04/2023,0,11.11
03/04/2023,0,11.14
04/04/2023,0,11.21
05/04/2023,0,11.26
06/04/2023,0,11.32
07/04/2023,0,11.27
08/04/2023,3,11.24
09/04/2023,0,11.42
10/04/2023,0,11.37
11/04/2023,4,11.4
12/04/2023,0,11.48
13/04/2023,0,11.49
14/04/2023,0,11.42
15/04/2023,0,11.48
16/04/2023,0,11.55
17/04/2023,0,11.57
18/04/2023,0,11.58
19/04/2023,0,11.6
20/04/2023,0,11.75
21/04/2023,0,11.68
22/04/2023,0,11.68
23/04/2023,0,11.57
24/04/2023,0,11.67
25/04/2023,0,11.64
26/04/2023,0,11.73
27/04/2023,35,11.47
28/04/2023,5,11.44
29/04/2023,106,11.1
30/04/2023,8,10.97
