date,rainfall,gwl,api
13/08/2022,0,8.67,726.58
14/08/2022,0,8.68,712.86
15/08/2022,0,8.7,699.13
16/08/2022,0,8.72,685.41
17/08/2022,0,8.73,671.69
18/08/2022,0,8.75,657.97
19/08/2022,0,8.6,643.98
20/08/2022,0,8.45,630.2
21/08/2022,0,8.3,616.98
22/08/2022,0,8.16,603.73
23/08/2022,0,8.01,590.89
24/08/2022,0,7.86,577.99
25/08/2022,4,7.71,569.24
26/08/2022,0,7.71,556.22
27/08/2022,0,7.7,543.56
28/08/2022,0,7.7,530.89
29/08/2022,0,7.69,518.31
30/08/2022,0,7.69,505.7
31/08/2022,0,7.68,492.94
01/09/2022,0,7.68,480.56
02/09/2022,0,7.67,468.27
03/09/2022,0,7.67,455.59
04/09/2022,0,7.78,443.07
05/09/2022,0,7.89,431.2
06/09/2022,0,7.99,420.63
07/09/2022,0,8.1,410.11
08/09/2022,5,8.21,404.74
09/09/2022,9,8.43,403.32
10/09/2022,21,8.51,414.08
11/09/2022,0,8.29,403.48
12/09/2022,0,8.36,392.72
13/09/2022,18,8.31,400.22
14/09/2022,0,8.41,389.98
15/09/2022,0,8.5,379.92
16/09/2022,0,8.5,370.33
17/09/2022,3,8.51,363.78
18/09/2022,2,8.65,356.18
19/09/2022,0,8.66,346.53
20/09/2022,0,8.66,336.89
21/09/2022,0,8.75,327.24
22/09/2022,0,8.76,317.6
23/09/2022,0,8.77,307.96
24/09/2022,0,8.78,298.31
25/09/2022,0,8.78,288.67
26/09/2022,0,8.79,279.02
27/09/2022,0,8.8,269.38
28/09/2022,0,8.81,259.73
29/09/2022,0,8.82,250.09
30/09/2022,0,8.84,240.44
01/10/2022,6,8.9,236.87
02/10/2022,0,8.85,227.16
03/10/2022,27,8.81,244.09
04/10/2022,0,8.93,234.73
05/10/2022,0,8.95,224.99
06/10/2022,0,8.96,215.41
07/10/2022,0,8.98,206.63
08/10/2022,0,9.0,198.57
09/10/2022,0,9.03,190.38
10/10/2022,0,9.06,182.97
11/10/2022,0,9.11,175.31
12/10/2022,0,9.12,167.8
13/10/2022,0,9.13,160.78
14/10/2022,0,9.14,153.92
15/10/2022,0,9.15,147.24
16/10/2022,0,9.17,140.86
17/10/2022,0,9.19,134.92
18/10/2022,0,9.21,129.23
19/10/2022,0,9.23,123.54
20/10/2022,0,9.25,117.86
21/10/2022,0,9.27,112.12
22/10/2022,2,9.29,108.32
23/10/2022,0,9.27,102.83
24/10/2022,14,9.19,111.5
25/10/2022,7,9.15,112.93
26/10/2022,0,9.21,107.03
27/10/2022,0,9.25,101.49
28/10/2022,0,9.25,95.94
29/10/2022,0,9.24,90.37
30/10/2022,0,9.36,84.4
31/10/2022,0,9.28,77.13
01/11/2022,27,9.37,101.08
02/11/2022,0,9.27,98.03
03/11/2022,53,8.77,148.94
04/11/2022,3,8.74,149.58
05/11/2022,0,8.66,147.18
06/11/2022,0,8.72,144.83
07/11/2022,9,8.88,151.7
08/11/2022,0,8.81,149.37
09/11/2022,0,8.93,147.03
10/11/2022,0,8.89,144.7
11/11/2022,0,8.99,142.37
12/11/2022,0,9.06,140.03
13/11/2022,3,9.12,140.73
14/11/2022,6,9.14,144.43
15/11/2022,3,9.21,145.03
16/11/2022,0,9.13,142.57
17/11/2022,0,9.27,140.1
18/11/2022,0,9.22,137.63
19/11/2022,0,9.29,135.17
20/11/2022,0,9.29,132.7
21/11/2022,0,9.47,130.23
22/11/2022,0,9.49,127.77
23/11/2022,0,9.46,125.26
24/11/2022,0,9.51,122.83
25/11/2022,0,9.46,120.41
26/11/2022,0,9.6,117.99
27/11/2022,0,9.65,115.57
28/11/2022,57,9.19,170.78
29/11/2022,0,9.18,167.72
30/11/2022,0,9.18,164.67
01/12/2022,0,9.21,161.61
02/12/2022,0,9.11,158.56
03/12/2022,0,9.14,155.5
04/12/2022,4,9.19,156.49
05/12/2022,10,9.29,163.5
06/12/2022,0,9.31,160.29
07/12/2022,0,9.39,157.02
08/12/2022,0,9.43,153.77
09/12/2022,0,9.42,150.48
10/12/2022,1,9.4,148.67
11/12/2022,80,9.06,226.72
12/12/2022,82,7.12,305.71
13/12/2022,3,7.73,304.31
14/12/2022,0,8.29,299.84
15/12/2022,7,8.4,302.46
16/12/2022,0,8.49,297.88
17/12/2022,0,8.55,293.34
18/12/2022,0,8.56,288.86
19/12/2022,0,8.59,284.37
20/12/2022,0,8.66,279.88
21/12/2022,0,8.75,275.39
22/12/2022,0,8.78,270.9
23/12/2022,0,8.79,266.41
24/12/2022,0,8.84,261.92
25/12/2022,0,8.99,257.43
26/12/2022,0,8.96,252.94
27/12/2022,0,8.89,248.46
28/12/2022,0,8.94,243.97
29/12/2022,0,8.94,239.48
30/12/2022,0,9.07,234.92
31/12/2022,0,9.11,230.5
01/01/2023,0,9.17,225.78
02/01/2023,0,9.22,221.66
03/01/2023,0,9.21,217.53
04/01/2023,0,9.24,213.41
05/01/2023,0,9.27,209.29
06/01/2023,0,9.31,205.17
07/01/2023,0,9.33,201.04
08/01/2023,0,9.39,196.92
09/01/2023,0,9.38,192.8
10/01/2023,0,9.48,188.68
11/01/2023,0,9.51,184.56
12/01/2023,0,9.47,180.43
13/01/2023,0,9.5,176.31
14/01/2023,0,9.54,172.19
15/01/2023,0,9.6,168.07
16/01/2023,0,9.67,163.94
17/01/2023,0,9.5,159.82
18/01/2023,0,9.26,155.7
19/01/2023,0,9.31,151.58
20/01/2023,0,9.33,147.43
21/01/2023,0,9.42,143.33
22/01/2023,0,9.46,139.08
23/01/2023,0,9.5,135.06
24/01/2023,0,9.53,131.19
25/01/2023,11,9.51,138.44
26/01/2023,0,9.66,134.46
27/01/2023,0,9.76,130.47
28/01/2023,0,9.69,126.48
29/01/2023,0,9.87,122.49
30/01/2023,0,9.89,118.2
31/01/2023,0,9.92,114.51
01/02/2023,0,9.95,110.23
02/02/2023,0,10.07,107.1
03/02/2023,0,10.04,104.03
04/02/2023,0,9.85,100.97
05/02/2023,0,9.93,97.8
06/02/2023,0,9.81,94.83
07/02/2023,0,9.8,91.87
08/02/2023,0,9.8,88.9
09/02/2023,0,9.73,85.93
10/02/2023,0,9.82,82.97
11/02/2023,0,9.74,79.97
12/02/2023,0,9.85,76.97
13/02/2023,0,9.89,74.07
14/02/2023,0,9.79,71.23
15/02/2023,0,9.85,68.4
16/02/2023,0,9.84,65.57
17/02/2023,0,9.9,62.73
18/02/2023,0,10.14,59.9
19/02/2023,0,10.0,57.07
20/02/2023,0,9.9,54.23
21/02/2023,0,10.03,51.4
22/02/2023,0,9.97,48.57
23/02/2023,0,9.87,45.73
24/02/2023,0,9.93,42.9
25/02/2023,0,9.98,40.07
26/02/2023,0,10.19,36.6
27/02/2023,0,10.06,34.4
28/02/2023,0,10.07,32.2
01/03/2023,0,10.07,30.0
02/03/2023,0,10.01,27.8
03/03/2023,0,10.0,25.6
